Depth,GR,MUD_VOLUME,TVD
1674.4842,98.5996,0.4859,1674.4843
1674.6341,96.4529,0.4504,1674.6342
1674.784,94.079,0.4133,1674.7841
1674.9339,92.4212,0.3885,1674.934
1675.0838,93.7856,0.4088,1675.0837
1675.2337,95.8026,0.44,1675.2336
1675.3836,95.5089,0.4354,1675.3835
1675.5335,94.4967,0.4196,1675.5334
1675.6834,94.6485,0.422,1675.6833
1675.8333,95.3003,0.4321,1675.8333
1675.9832,95.5184,0.4355,1675.9832
1676.1331,94.9671,0.4269,1676.1331
1676.283,93.3624,0.4024,1676.283
1676.4329,91.7711,0.379,1676.4329
1676.5828,91.3713,0.3733,1676.5828
1676.7327,91.3236,0.3726,1676.7327
1676.8826,90.6701,0.3633,1676.8826
1677.0325,89.6711,0.3494,1677.0325
1677.1824,88.7107,0.3363,1677.1824
1677.3323,87.5693,0.3211,1677.3323
1677.4822,86.0097,0.3009,1677.4822
1677.6321,84.6901,0.2843,1677.6321
1677.7820000000004,84.2885,0.2794,1677.7820000000004
1677.9319,84.6039,0.2833,1677.9319
1678.0818,85.3204,0.2922,1678.0818
1678.2317,86.2814,0.3044,1678.2317
1678.3816,87.48899999999998,0.32,1678.3816
1678.5315,88.9768,0.3399,1678.5315
1678.6814,90.6007,0.3623,1678.6814
1678.8313,90.9274,0.3669,1678.8313
1678.9812,88.7064,0.3362,1678.9812
1679.1311,85.5466,0.295,1679.1311
1679.281,83.3783,0.2683,1679.281
1679.4309,82.6243,0.2593,1679.4309
1679.5808,83.3088,0.2675,1679.5808
1679.7307,84.8501,0.2863,1679.7307
1679.8806,86.6346,0.3089,1679.8806
1680.0305,88.0466,0.3274,1680.0305
1680.1804,88.4975,0.3334,1680.1804
1680.3303,88.7637,0.337,1680.3303
1680.4802,89.6947,0.3497,1680.4802
1680.6301,90.5708,0.3619,1680.6301
1680.78,90.2267,0.3571,1680.78
1680.9299,89.3218,0.3446,1680.9299
1681.0798,88.855,0.3382,1681.0798
1681.2297,88.6593,0.2012,1681.2297
1681.3796,88.5836,0.2579,1681.3796
1681.5295,88.7712,0.3249,1681.5295
1681.6794,88.9952,0.3844,1681.6794
1681.8293,89.0134,0.4333,1681.8293
1681.9792,90.1039,0.4821,1681.9792
1682.1291,94.4492,0.5504,1682.1292
1682.279,99.9209,0.6134,1682.2791
1682.4289,101.6739,0.631,1682.429
1682.5788,102.2364,0.6314,1682.5789
1682.7287,103.9823,0.6297,1682.7288
1682.8786,105.9697,0.6125,1682.8785
1683.0285,105.5447,0.5567,1683.0284
1683.1784,102.8317,0.4764,1683.1783
1683.3283,97.4093,0.3816,1683.3282
1683.4782,91.2913,0.2996,1683.4781
1683.6281,89.8445,0.2775,1683.6281
1683.7779999999998,90.1902,0.2882,1683.7779999999998
1683.9279,89.6234,0.2994,1683.9279
1684.0778,88.6368,0.3089,1684.0778
1684.2277,88.1924,0.3123,1684.2277
1684.3776,88.4733,0.3081,1684.3776
1684.5275,89.962,0.3094,1684.5275
1684.6774,91.9037,0.3141,1684.6774
1684.8273,93.1284,0.3122,1684.8273
1684.9772,93.3709,0.3039,1684.9772
1685.1271,92.1191,0.2896,1685.1271
1685.277,90.4374,0.2752,1685.277
1685.4269,89.5758,0.2755,1685.4269
1685.5768,89.4207,0.2933,1685.5768
1685.7267,89.7385,0.3255,1685.7267
1685.8766,89.8494,0.3601,1685.8766
1686.0265,89.3036,0.3852,1686.0265
1686.1764,89.5225,0.4034,1686.1764
1686.3263,91.8625,0.4309,1686.3263
1686.4762,94.431,0.4733,1686.4762
1686.6261,95.3784,0.5217,1686.6261
1686.776,96.5014,0.5902,1686.776
1686.9259,99.8205,0.6775,1686.9259
1687.0758,103.6564,0.7455,1687.0758
1687.2257,105.9872,0.7632,1687.2257
1687.3756,106.8179,0.7457,1687.3756
1687.5255,106.6027,0.7151,1687.5255
1687.6754,105.2773,0.6769,1687.6754
1687.8253,102.6417,0.6284,1687.8253
1687.9752,99.5635,0.5808,1687.9752
1688.1251,96.9351,0.5438,1688.1251
1688.275,95.2341,0.5192,1688.275
1688.4249,94.7074,0.5061,1688.4249
1688.5748,94.9242,0.4982,1688.5748
1688.7247,95.4347,0.4897,1688.7247
1688.8746,96.0547,0.4795,1688.8746
1689.0245,96.7655,0.4724,1689.0245
1689.1744,97.8776,0.4771,1689.1744
1689.3243,99.7143,0.4954,1689.3243
1689.4742,101.855,0.5177,1689.4742
1689.6241,103.5658,0.5341,1689.6241
1689.774,104.8197,0.5423,1689.774
1689.9239,105.4142,0.5392,1689.924
1690.0738,105.7456,0.5314,1690.0739
1690.2237,106.1174,0.5264,1690.2238
1690.3736,106.3951,0.5225,1690.3737
1690.5235,106.2496,0.5296,1690.5236
1690.6734,106.2373,0.5408,1690.6733
1690.8233,107.3004,0.5676,1690.8232
